#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ARNT,MDM2,9606.ENSP00000351407,9606.ENSP00000258149,0,0,0,0,0.085,0,0.5,0.322,0.662
ARNT,RELA,9606.ENSP00000351407,9606.ENSP00000384273,0,0,0,0,0.067,0.191,0,0.501,0.59
BCL2L11,MDM2,9606.ENSP00000376943,9606.ENSP00000258149,0,0,0,0,0.044,0,0,0.578,0.58
BCL2L11,RIPK1,9606.ENSP00000376943,9606.ENSP00000259808,0,0,0,0,0.189,0,0,0.4,0.492
BCL2L11,IL15,9606.ENSP00000376943,9606.ENSP00000296545,0,0,0,0,0.048,0,0,0.406,0.41
BCL2L11,NRAS,9606.ENSP00000376943,9606.ENSP00000358548,0,0,0,0,0.097,0,0.4,0.449,0.675
BCL2L11,RELA,9606.ENSP00000376943,9606.ENSP00000384273,0,0,0,0,0.074,0,0,0.395,0.416
DNMT3B,RELA,9606.ENSP00000328547,9606.ENSP00000384273,0,0,0,0,0,0.279,0,0.207,0.404
GFI1,RELA,9606.ENSP00000294702,9606.ENSP00000384273,0,0,0,0,0,0.331,0,0.191,0.436
HLA-A,IL15,9606.ENSP00000379873,9606.ENSP00000296545,0,0,0,0,0.102,0,0,0.571,0.598
HLA-A,NRAS,9606.ENSP00000379873,9606.ENSP00000358548,0,0,0,0,0.055,0.215,0,0.269,0.41
HLA-A,RELA,9606.ENSP00000379873,9606.ENSP00000384273,0,0,0,0,0.088,0,0,0.381,0.411
HSPA1B,RELA,9606.ENSP00000364801,9606.ENSP00000384273,0,0,0,0,0.047,0.371,0,0.245,0.509
MDM2,TOP2A,9606.ENSP00000258149,9606.ENSP00000411532,0,0,0,0,0.07,0.078,0,0.385,0.427
MDM2,NRAS,9606.ENSP00000258149,9606.ENSP00000358548,0,0,0,0,0.062,0.071,0,0.587,0.609
MDM2,RELA,9606.ENSP00000258149,9606.ENSP00000384273,0,0,0,0,0.053,0.334,0,0.63,0.746
MDM2,YY1,9606.ENSP00000258149,9606.ENSP00000262238,0,0,0,0,0.049,0.515,0,0.786,0.892
NRAS,RELA,9606.ENSP00000358548,9606.ENSP00000384273,0,0,0,0,0.061,0.078,0.5,0.224,0.619
RELA,RIPK1,9606.ENSP00000384273,9606.ENSP00000259808,0,0,0,0,0.164,0.098,0.5,0.496,0.784
RELA,YY1,9606.ENSP00000384273,9606.ENSP00000262238,0,0,0,0,0.099,0.095,0,0.629,0.671
TOP2A,YY1,9606.ENSP00000411532,9606.ENSP00000262238,0,0,0,0,0.069,0.297,0,0.449,0.608
